Classic - original data
Freq,Bias,Power/dBm,Clk gen drive strength
475700,900,23,3
475700,284,20,3
475700,206,17,3
475700,136,13,3
475700,96,10,3
475700,63.5,7,3
1000000,259,23,3
1000000,164,20,3
1000000,118,17,3
1000000,71,13,3
1000000,41,10,3
1000000,15.5,7,3
1838100,210,23,3
1838100,137,20,3
1838100,95,17,3
1838100,51,13,3
1838100,23.5,10,3
1838100,0,7,3
3594100,242,23,3
3594100,168,20,3
3594100,115,17,3
3594100,65,13,3
3594100,35.5,10,3
3594100,10,7,3
5288700,274,23,3
5288700,192,20,3
5288700,135,17,3
5288700,79.5,13,3
5288700,47,10,3
5288700,20,7,3
7040100,287,23,3
7040100,198.5,20,3
7040100,138.5,17,3
7040100,82,13,3
7040100,49.5,10,3
7040100,22,7,3
10140200,294,23,3
10140200,192.5,20,3
10140200,127,17,3
10140200,71,13,3
10140200,39,10,3
10140200,12.5,7,3
14000800,414,23,3
14000800,242,20,3
14000800,153,17,3
14000800,84,13,3
14000800,48,10,3
14000800,19.5,7,3
14097100,420,23,3
14097100,242,20,3
14097100,153,17,3
14097100,84,13,3
14097100,48,10,3
14097100,19.5,7,3
