Flexi
Freq,Bias,Power/dBm,Clk gen drive strength
50294500,0,-2.69,3
50294500,10,-2.46,3
50294500,20,-2.18,3
50294500,30,-1.84,3
50294500,40,-1.44,3
50294500,50,-1,3
50294500,60,-0.5,3
50294500,70,0.04,3
50294500,80,0.62,3
50294500,90,1.24,3
50294500,100,1.88,3
50294500,150,5.21,3
50294500,200,8.35,3
50294500,250,11.09,3
50294500,300,13.44,3
50294500,350,15.44,3
50294500,400,17.12,3
50294500,450,18.54,3
50294500,500,19.74,3
50294500,550,20.69,3
50294500,600,21.34,3
50294500,650,21.62,3
28126100,0,1.62,3
28126100,10,2.45,3
28126100,20,3.35,3
28126100,30,4.26,3
28126100,40,5.13,3
28126100,50,5.98,3
28126100,60,6.81,3
28126100,70,7.6,3
28126100,80,8.36,3
28126100,90,9.08,3
28126100,100,9.77,3
28126100,150,12.8,3
28126100,200,15.2,3
28126100,250,17.1,3
28126100,300,18.68,3
28126100,350,20.05,3
28126100,400,21.24,3
28126100,450,22.28,3
28126100,500,23.15,3
28126100,550,23.86,3
28126100,600,24.39,3
28126100,650,24.76,3
28126100,700,24.92,3
24926100,0,2.46,3
24926100,10,3.34,3
24926100,20,4.29,3
24926100,30,5.21,3
24926100,40,6.11,3
24926100,50,6.99,3
24926100,60,7.81,3
24926100,70,8.6,3
24926100,80,9.36,3
24926100,90,10.08,3
24926100,100,10.76,3
24926100,150,13.72,3
24926100,200,16.02,3
24926100,250,17.84,3
24926100,300,19.37,3
24926100,350,20.69,3
24926100,400,21.86,3
24926100,450,22.85,3
24926100,500,23.67,3
24926100,550,24.31,3
24926100,600,24.81,3
24926100,650,25.17,3
24926100,700,25.37,3
24926100,750,25.4,3
21096100,0,3.6,3
21096100,10,4.53,3
21096100,20,5.51,3
21096100,30,6.47,3
21096100,40,7.39,3
21096100,50,8.27,3
21096100,60,9.1,3
21096100,70,9.9,3
21096100,80,10.65,3
21096100,90,11.36,3
21096100,100,12.04,3
21096100,150,14.93,3
21096100,200,17.13,3
21096100,250,18.87,3
21096100,300,20.35,3
21096100,350,21.64,3
21096100,400,22.75,3
21096100,450,23.66,3
21096100,500,24.37,3
21096100,550,24.95,3
21096100,600,25.39,3
21096100,650,25.73,3
21096100,700,25.96,3
21096100,750,26.07,3
18106100,0,4.53,3
18106100,10,5.52,3
18106100,20,6.53,3
18106100,30,7.51,3
18106100,40,8.44,3
18106100,50,9.33,3
18106100,60,10.17,3
18106100,70,10.96,3
18106100,80,11.71,3
18106100,90,12.43,3
18106100,100,13.09,3
18106100,150,15.91,3
18106100,200,18,3
18106100,250,19.69,3
18106100,300,21.13,3
18106100,350,22.37,3
18106100,400,23.39,3
18106100,450,24.2,3
18106100,500,24.84,3
18106100,550,25.34,3
18106100,600,25.74,3
18106100,650,26.05,3
18106100,700,26.29,3
18106100,750,26.44,3
18106100,800,26.51,3
14097100,0,5.31,3
14097100,10,6.38,3
14097100,20,7.46,3
14097100,30,8.49,3
14097100,40,9.47,3
14097100,50,10.39,3
14097100,60,11.26,3
14097100,70,12.08,3
14097100,80,12.85,3
14097100,90,13.57,3
14097100,100,14.26,3
14097100,150,17.06,3
14097100,200,19.08,3
14097100,250,20.74,3
14097100,300,22.15,3
14097100,350,23.3,3
14097100,400,24.17,3
14097100,450,24.82,3
14097100,500,25.32,3
14097100,550,25.72,3
14097100,600,26.05,3
14097100,650,26.31,3
14097100,700,26.54,3
14097100,750,26.72,3
14097100,800,26.85,3
14097100,850,26.92,3
10140200,0,6.08,3
10140200,10,7.23,3
10140200,20,8.38,3
10140200,30,9.46,3
10140200,40,10.47,3
10140200,50,11.43,3
10140200,60,12.34,3
10140200,70,13.18,3
10140200,80,13.98,3
10140200,90,14.74,3
10140200,100,15.44,3
10140200,150,18.27,3
10140200,200,20.29,3
10140200,250,21.94,3
10140200,300,23.28,3
10140200,350,24.21,3
10140200,400,24.83,3
10140200,450,25.28,3
10140200,500,25.63,3
10140200,550,25.92,3
10140200,600,26.17,3
10140200,650,26.39,3
10140200,700,26.58,3
10140200,750,26.75,3
10140200,800,26.91,3
10140200,850,27.04,3
10140200,900,27.13,3
7040100,0,6.53,3
7040100,10,7.76,3
7040100,20,8.95,3
7040100,30,10.08,3
7040100,40,11.15,3
7040100,50,12.14,3
7040100,60,13.08,3
7040100,70,13.97,3
7040100,80,14.81,3
7040100,90,15.59,3
7040100,100,16.34,3
7040100,150,19.3,3
7040100,200,21.41,3
7040100,250,23.11,3
7040100,300,24.22,3
7040100,350,24.85,3
7040100,400,25.25,3
7040100,450,25.56,3
7040100,500,25.81,3
7040100,550,26.02,3
7040100,600,26.21,3
7040100,650,26.38,3
7040100,700,26.54,3
7040100,750,26.68,3
7040100,800,26.83,3
7040100,850,26.96,3
7040100,900,27.07,3
7040100,950,27.12,3
5288700,0,6.62,3
5288700,10,7.89,3
5288700,20,9.11,3
5288700,30,10.26,3
5288700,40,11.35,3
5288700,50,12.37,3
5288700,60,13.33,3
5288700,70,14.24,3
5288700,80,15.1,3
5288700,90,15.91,3
5288700,100,16.68,3
5288700,150,19.8,3
5288700,200,22.02,3
5288700,250,23.72,3
5288700,300,24.57,3
5288700,350,25.03,3
5288700,400,25.33,3
5288700,450,25.57,3
5288700,500,25.77,3
