Flexi - switchable LPF kit
Freq,Bias,Power/dBm,Clk gen drive strength
28126100,0,2.26,3
28126100,10,3.18,3
28126100,20,4.16,3
28126100,30,5.14,3
28126100,40,6.08,3
28126100,50,7,3
28126100,60,7.88,3
28126100,70,8.72,3
28126100,80,9.51,3
28126100,90,10.27,3
28126100,100,11,3
28126100,150,14.11,3
28126100,200,16.5,3
28126100,250,18.25,3
28126100,300,19.53,3
28126100,350,20.51,3
28126100,400,21.28,3
28126100,450,21.9,3
28126100,500,22.38,3
28126100,550,22.73,3
28126100,600,22.99,3
28126100,650,23.16,3
28126100,700,23.25,3
28126100,0,-13.19,0
28126100,10,-13.13,0
28126100,20,-13.08,0
28126100,30,-13.03,0
28126100,40,-12.98,0
28126100,50,-12.93,0
28126100,60,-12.87,0
28126100,70,-12.82,0
28126100,80,-12.78,0
28126100,90,-12.72,0
28126100,100,-12.67,0
28126100,150,-12.2,0
28126100,200,-10.27,0
28126100,250,-4.74,0
28126100,300,1.46,0
28126100,350,6.29,0
28126100,400,9.92,0
28126100,450,12.66,0
28126100,500,14.62,0
28126100,550,15.78,0
28126100,600,16.26,0
28126100,650,16.31,0
