Flexi - LPF kit
Freq,Bias,Power/dBm,Clk gen drive strength
3594100,0,6.79,3
3594100,10,7.99,3
3594100,20,9.18,3
3594100,30,10.32,3
3594100,40,11.4,3
3594100,50,12.43,3
3594100,60,13.4,3
3594100,70,14.32,3
3594100,80,15.19,3
3594100,90,16.02,3
3594100,100,16.81,3
3594100,150,20.22,3
3594100,200,22.83,3
3594100,250,24.4,3
3594100,300,25.18,3
3594100,350,25.59,3
3594100,400,25.85,3
3594100,450,26.05,3
3594100,500,26.19,3
3594100,550,26.31,3
3594100,600,26.41,3
3594100,650,26.5,3
3594100,700,26.57,3
3594100,750,26.63,3
3594100,800,26.69,3
3594100,850,26.74,3
3594100,900,26.78,3
3594100,0,4.5,0
3594100,10,5.72,0
3594100,20,6.94,0
3594100,30,8.1,0
3594100,40,9.2,0
3594100,50,10.24,0
3594100,60,11.22,0
3594100,70,12.14,0
3594100,80,13,0
3594100,90,13.82,0
3594100,100,14.59,0
3594100,150,17.79,0
3594100,200,20.01,0
3594100,250,21.69,0
3594100,300,23.07,0
3594100,350,24.13,0
3594100,400,24.81,0
3594100,450,25.26,0
3594100,500,25.61,0
3594100,550,25.87,0
3594100,600,26.1,0
3594100,650,26.28,0
3594100,700,26.44,0
3594100,750,26.56,0
3594100,800,26.63,0
3594100,850,26.65,0
